iter	Logloss
0	0.6765069755
1	0.6643958557
2	0.6553451113
3	0.6432363302
4	0.6324937601
5	0.6200928719
6	0.6108500214
7	0.6016211418
8	0.594698808
9	0.5885712066
10	0.580668538
11	0.567867864
12	0.558785446
13	0.5531924171
14	0.5436266212
15	0.535545925
16	0.5280156443
17	0.5168533295
18	0.5091405068
19	0.5048195722
20	0.4999890901
21	0.4920613815
22	0.4851196048
23	0.4800344471
24	0.4744219888
25	0.4656796232
26	0.4591140023
27	0.4512770159
28	0.444049053
29	0.4400051671
30	0.4320404669
31	0.4246406328
32	0.4204110895
33	0.4163381944
34	0.4132436842
35	0.4083683273
36	0.404569596
37	0.3989719613
38	0.3941569146
39	0.3882083661
40	0.384390737
41	0.3784505871
42	0.3760520626
43	0.3692908534
44	0.3644623943
45	0.3580119865
46	0.3535715021
47	0.3494211861
48	0.3442072082
49	0.3422338004
50	0.3392438358
51	0.3359840824
52	0.3342392402
53	0.3311174572
54	0.3279599377
55	0.3240817364
56	0.3214485661
57	0.317420932
58	0.3154172077
59	0.3134327457
60	0.3106187629
61	0.3084155799
62	0.3060394087
63	0.3029056112
64	0.3002137023
65	0.2967259959
66	0.2926025725
67	0.2892907968
68	0.2879031714
69	0.2850805918
70	0.2825495684
71	0.2780882105
72	0.2745752103
73	0.270980755
74	0.267670253
75	0.2641264586
76	0.2613104491
77	0.2594562298
78	0.2579789215
79	0.2550669336
80	0.252898915
81	0.249984562
82	0.2486006724
83	0.2458316078
84	0.2427256699
85	0.2411548933
86	0.2381384327
87	0.2351756484
88	0.2331356025
89	0.2291325354
90	0.227394528
91	0.224508105
92	0.2225865052
93	0.219848332
94	0.2181946222
95	0.2159651487
96	0.2149748329
97	0.2135427616
98	0.2110481143
99	0.2087595621
100	0.2076485051
101	0.2055201952
102	0.2046690897
103	0.2045296044
104	0.2022503065
105	0.2006481157
106	0.1994500641
107	0.1981578102
108	0.1969704681
109	0.1958049851
110	0.193692599
111	0.1922807792
112	0.1900256235
113	0.1884552637
114	0.1866839366
115	0.1855510447
116	0.1830565834
117	0.1814933379
118	0.1797773669
119	0.1779969397
120	0.1760514978
121	0.1748419627
122	0.1729036616
123	0.1709782465
124	0.1697026368
125	0.1682683311
126	0.1667995037
127	0.1655484242
128	0.1640724715
129	0.1630099892
130	0.1615057432
131	0.1600938091
132	0.1585713404
133	0.1577125468
134	0.1567230859
135	0.1552009199
136	0.1534104123
137	0.1510236285
138	0.1499852135
139	0.1477624922
140	0.14653449
141	0.1445888397
142	0.1433553563
143	0.1422853368
144	0.141019705
145	0.1398674655
146	0.1386076306
147	0.1373104789
148	0.1362727594
149	0.135445468
150	0.1340079665
151	0.1327154463
152	0.1317148336
153	0.1309651596
154	0.1303160606
155	0.1286931914
156	0.1273686011
157	0.1260111616
158	0.123758671
159	0.1226053548
160	0.1214977591
161	0.120296763
162	0.1191341203
163	0.11818763
164	0.1172049778
165	0.1160988277
166	0.1150464818
167	0.1142027353
168	0.1131469255
169	0.1118314858
170	0.1107972781
171	0.1095685301
172	0.1089301408
173	0.1082907797
174	0.1077012639
175	0.1068772043
176	0.1058885722
177	0.1051759813
178	0.1046927778
179	0.104010095
180	0.1035369105
181	0.1025014044
182	0.1014600462
183	0.1006809807
184	0.09982899652
185	0.09887679407
186	0.09769645925
187	0.09734536523
188	0.09702144167
189	0.09631329455
190	0.09536884397
191	0.0942178553
192	0.09348443286
193	0.09296835608
194	0.09201009656
195	0.09084525606
196	0.09016106687
197	0.08927697046
198	0.08845026695
199	0.08776252801
