Model,Fitur,Recall,Precision,F1-Score,AUC
Model 1 (Baseline: Keuangan),8,0.21428571428571427,0.125,0.15789473684210525,0.5513643659711076
Model 2 (Jurnal: Keu+Teks),11,0.21428571428571427,0.16666666666666666,0.1875,0.5545746388443018
Model 3 (Inovasi: Keu+Teks+Pasar),12,0.2857142857142857,0.3076923076923077,0.2962962962962963,0.630016051364366
