Model,Recall,Precision,F1-Score,ROC-AUC
Logistic Regression,0.7142857142857143,0.16666666666666666,0.2702702702702703,0.6179775280898876
Random Forest,0.2857142857142857,0.36363636363636365,0.32,0.6605136436597111
XGBoost,0.2857142857142857,0.3076923076923077,0.2962962962962963,0.630016051364366
LightGBM,0.21428571428571427,0.23076923076923078,0.2222222222222222,0.6669341894060996
SVM,0.8571428571428571,0.1791044776119403,0.2962962962962963,0.6613162118780096
