Ticker,Event_Target_Date,Event_Actual_Date,Volatility_90d_Annualized,CAR_minus5_to_plus5
RIGS.JK,2024-08-29,2024-08-29,0.21401270020160879,0.17100045508640804
RMKE.JK,2024-05-15,2024-05-15,0.32630842621634426,0.05272693882357352
RMKO.JK,2024-05-15,2024-05-15,0.30291777202966597,0.04443081405179637
ROCK.JK,2024-04-16,2024-04-16,0.18452228654315153,-0.002113617376775263
ROTI.JK,2024-03-01,2024-03-01,0.2448411251036984,-0.048616481043879486
RSCH.JK,2024-03-26,2024-03-26,0.8239165438239088,0.01390350389622204
RSGK.JK,2024-03-27,2024-03-27,0.23922261911596737,-0.04621441306600648
SAME.JK,2024-03-28,2024-03-28,0.40994114428689704,-0.09274057069732403
SAMF.JK,2024-03-28,2024-03-28,0.31392097618466686,-0.03078612310078866
SAPX.JK,2024-04-05,2024-04-05,1.1267578104534064,-0.0814920039083338
SBMA.JK,2024-03-28,2024-03-28,0.27699316647212435,-0.049025800774068665
SCCO.JK,2024-03-28,2024-03-28,1.3252765049556527,0.1659145405728255
SDMU.JK,2024-03-28,2024-03-28,0.0,-0.7842254149307418
SGER.JK,2024-07-08,2024-07-08,0.6599631520911905,0.0073240675810841115
SGRO.JK,2024-03-27,2024-03-27,0.058623740747420744,0.009248822170094373
SILO.JK,2024-03-25,2024-03-25,0.5928205364474558,0.06888789870127052
SINI.JK,2024-04-29,2024-04-29,0.6810233552441307,0.013554901589379064
SIPD.JK,2024-03-28,2024-03-28,0.7550909189134435,-0.1606102848946689
SKLT.JK,2024-04-01,2024-04-01,0.798718692719579,-0.05137241021740724
SLIS.JK,2024-05-16,2024-05-16,0.8490838502582708,-0.030497623856749922
SMBR.JK,2024-03-11,2024-03-13,0.30424720114032133,0.1795547323064042
SMCB.JK,2024-03-08,2024-03-08,0.41080511287204163,0.041864545496185346
SMDM.JK,2024-03-31,2024-04-01,0.1769268852886164,-0.007487152781528663
SMDR.JK,2024-03-28,2024-03-28,0.4149379770963581,-0.021943845632161278
SMGR.JK,2024-03-10,2024-03-13,0.24588048905105317,-0.06099253281874511
SMIL.JK,2024-05-08,2024-05-08,0.6124612858853242,0.23114706748399827
SMMT.JK,2024-03-06,2024-03-06,0.5086163048081254,0.036770955885312956
SMRU.JK,2024-04-16,2024-04-16,0.0,0.0
SOCI.JK,2024-03-24,2024-03-25,0.20769570781770522,0.02674584435137462
SOFA.JK,2024-04-01,2024-04-01,0.39553565633056287,0.025929843672361737
SOTS.JK,2024-07-15,2024-07-15,1.284797364057935,0.0475899314063968
SOUL.JK,2024-04-20,2024-04-22,0.7106979212043345,-0.006691436312151398
SQMI.JK,2024-07-04,2024-07-04,0.19556813695623762,0.01081707318352117
SRIL.JK,2024-08-22,2024-08-22,0.0,0.0
SSIA.JK,2024-03-27,2024-03-27,0.6386521649633965,0.01641690719327854
SSMS.JK,2024-04-17,2024-04-17,0.49247066902158754,-0.07647689788294176
SSTM.JK,2024-10-24,2024-10-24,0.6986506417344936,0.0306279854664962
STAA.JK,2024-03-25,2024-03-25,0.1933626961237645,-0.004120022981944492
SUPR.JK,2024-03-28,2024-03-28,0.15958343847741874,-0.016552380952380954
SURE.JK,2024-03-28,2024-03-28,0.2500295217292404,0.2310764597121934
